model,policy,category,field,snippet,found
anthropic__claude-opus-4-6,amazon,physical_data,retention_policy.policy_snippet_deletion,"you can choose to automatically delete your voice recordings, text transcripts, and typed requests to Alexa after a specified period of time (3 or 18 months), or you can choose to not save any voice recordings. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests",false
anthropic__claude-opus-4-6,amazon,physical_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,amazon,behavioral_data,collected.policy_snippet,"the full Uniform Resource Locator (URL) clickstream to, through, and from our websites, including date and time; products and content you viewed or searched for; page response times, download errors, length of visits to certain pages, and page interaction information (such as scrolling, clicks, and mouse-overs)",true
anthropic__claude-opus-4-6,amazon,behavioral_data,stored.policy_snippet,"We receive and store any information you provide in relation to Amazon Services. We automatically collect and store certain types of information about your use of Amazon Services, including information about your interaction with products, content, and services available through Amazon Services.",false
anthropic__claude-opus-4-6,amazon,behavioral_data,shared.policy_snippet,"We provide ad companies with information that allows them to serve you with more useful and relevant Amazon ads and to measure their effectiveness. We never share your name or other information that directly identifies you when we do this. Instead, we use an advertising identifier like a cookie, a device identifier, or a code derived from applying irreversible cryptography to other information like an email address.",true
anthropic__claude-opus-4-6,amazon,behavioral_data,retention_policy.policy_snippet_deletion,"to the extent required by applicable law, you may have the right to request access to or delete your personal information. If you wish to do any of these things, you may go to Data Privacy Queries.",true
anthropic__claude-opus-4-6,amazon,behavioral_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,apple_health_app,biometric_data,collected.policy_snippet,,empty
anthropic__claude-opus-4-6,apple_health_app,biometric_data,stored.policy_snippet,,empty
anthropic__claude-opus-4-6,apple_health_app,biometric_data,shared.policy_snippet,,empty
anthropic__claude-opus-4-6,apple_health_app,biometric_data,retention_policy.policy_snippet_deletion,,empty
anthropic__claude-opus-4-6,apple_health_app,biometric_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,apple_health_app,health_data,collected.policy_snippet,"Physical or mental health or condition, including information about your health conditions, symptoms, status, diagnoses, testing, or treatments. For instance, if you contact AppleCare for support on one of our regulated health features, you may choose to provide health-related information.",true
anthropic__claude-opus-4-6,apple_health_app,health_data,stored.policy_snippet,"There are limited circumstances in which Apple transmits but does not store data, some of which may be considered to constitute consumer health personal data.",true
anthropic__claude-opus-4-6,apple_health_app,health_data,shared.policy_snippet,"Apple may disclose information, including each of the categories of consumer health personal data with Apple-affiliated companies, service providers who act on our behalf, and others as reasonably necessary in order to provide you with the products or features you have requested or others at your direction or when required by applicable law.",true
anthropic__claude-opus-4-6,apple_health_app,health_data,retention_policy.policy_snippet_deletion,"At Apple, we respect your ability to know, access, correct, transfer, restrict the processing of, and delete your personal data. This includes the limited instances where we process or collect consumer health personal data under applicable privacy law.",true
anthropic__claude-opus-4-6,apple_health_app,health_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,apple_health_app,physiological_data,collected.policy_snippet,"Measurements of bodily functions, vital signs, and other related information. For instance, if you choose to participate in an Apple-sponsored health study, you may be asked to provide information about your symptoms or vital signs (for example, heart rate) as part of your consent to participate in the study.",true
anthropic__claude-opus-4-6,apple_health_app,physiological_data,stored.policy_snippet,"Health and fitness data gathered from iPhone, iPad, and Apple Watch is encrypted on your device with a passcode, and is securely synced across devices.",true
anthropic__claude-opus-4-6,apple_health_app,physiological_data,shared.policy_snippet,"Apple may disclose information, including each of the categories of consumer health personal data with Apple-affiliated companies, service providers who act on our behalf, and others as reasonably necessary in order to provide you with the products or features you have requested or others at your direction or when required by applicable law.",true
anthropic__claude-opus-4-6,apple_health_app,physiological_data,retention_policy.policy_snippet_deletion,"At Apple, we respect your ability to know, access, correct, transfer, restrict the processing of, and delete your personal data. This includes the limited instances where we process or collect consumer health personal data under applicable privacy law.",true
anthropic__claude-opus-4-6,apple_health_app,physiological_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,apple_health_app,physical_data,collected.policy_snippet,"Measurements of bodily functions, vital signs, and other related information. For instance, if you choose to participate in an Apple-sponsored health study, you may be asked to provide information about your symptoms or vital signs (for example, heart rate) as part of your consent to participate in the study.",true
anthropic__claude-opus-4-6,apple_health_app,physical_data,stored.policy_snippet,"if you choose to sync your data across your devices or store data in iCloud, depending on how you use our features and the information saved to your account, this could include health-related information.",true
anthropic__claude-opus-4-6,apple_health_app,physical_data,shared.policy_snippet,"Apple may disclose information, including each of the categories of consumer health personal data with Apple-affiliated companies, service providers who act on our behalf, and others as reasonably necessary in order to provide you with the products or features you have requested or others at your direction or when required by applicable law.",true
anthropic__claude-opus-4-6,apple_health_app,physical_data,retention_policy.policy_snippet_deletion,"At Apple, we respect your ability to know, access, correct, transfer, restrict the processing of, and delete your personal data. This includes the limited instances where we process or collect consumer health personal data under applicable privacy law.",true
anthropic__claude-opus-4-6,apple_health_app,physical_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,apple_health_app,behavioral_data,collected.policy_snippet,"we may collect information about the apps you download in the App Store in order to provide you the App Store and content you requested, and to personalize your experience.",true
anthropic__claude-opus-4-6,apple_health_app,behavioral_data,stored.policy_snippet,"if you choose to sync your data across your devices or store data in iCloud, depending on how you use our features and the information saved to your account, this could include health-related information.",true
anthropic__claude-opus-4-6,apple_health_app,behavioral_data,shared.policy_snippet,"Apple may disclose information, including each of the categories of consumer health personal data with Apple-affiliated companies, service providers who act on our behalf, and others as reasonably necessary in order to provide you with the products or features you have requested or others at your direction or when required by applicable law.",true
anthropic__claude-opus-4-6,apple_health_app,behavioral_data,retention_policy.policy_snippet_deletion,"At Apple, we respect your ability to know, access, correct, transfer, restrict the processing of, and delete your personal data.",true
anthropic__claude-opus-4-6,apple_health_app,behavioral_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,huawei,biometric_data,collected.policy_snippet,,empty
anthropic__claude-opus-4-6,huawei,biometric_data,stored.policy_snippet,,empty
anthropic__claude-opus-4-6,huawei,biometric_data,shared.policy_snippet,,empty
anthropic__claude-opus-4-6,huawei,biometric_data,retention_policy.policy_snippet_deletion,,empty
anthropic__claude-opus-4-6,huawei,biometric_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,huawei,health_data,collected.policy_snippet,,empty
anthropic__claude-opus-4-6,huawei,health_data,stored.policy_snippet,,empty
anthropic__claude-opus-4-6,huawei,health_data,shared.policy_snippet,,empty
anthropic__claude-opus-4-6,huawei,health_data,retention_policy.policy_snippet_deletion,,empty
anthropic__claude-opus-4-6,huawei,health_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,huawei,physiological_data,collected.policy_snippet,,empty
anthropic__claude-opus-4-6,huawei,physiological_data,stored.policy_snippet,,empty
anthropic__claude-opus-4-6,huawei,physiological_data,shared.policy_snippet,,empty
anthropic__claude-opus-4-6,huawei,physiological_data,retention_policy.policy_snippet_deletion,,empty
anthropic__claude-opus-4-6,huawei,physiological_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,huawei,physical_data,collected.policy_snippet,"The personal data we collect includes name, gender, enterprise name, job position, postal and email addresses, phone number, login information (account and password), photos, and certificate information, etc., depending on how you interact with Huawei",true
anthropic__claude-opus-4-6,huawei,physical_data,stored.policy_snippet,"We will retain your personal information for no longer than is necessary for the purposes stated in this Policy, unless otherwise extending the retention period is required or permitted by law.",true
anthropic__claude-opus-4-6,huawei,physical_data,shared.policy_snippet,"Huawei shares your personal data with other partners, as described in this Policy, when services are provided by partners authorized by Huawei. For example, when you make an online purchase from Huawei, we must share your personal data with the logistics provider to arrange shipment or a partner to provide services. In addition, as a global company, we may share personal data with Huawei affiliates and subsidiaries.",true
anthropic__claude-opus-4-6,huawei,physical_data,retention_policy.policy_snippet_deletion,"You can choose to deregister your account. After you deregister your account, we will stop providing you with products and services through your account and delete your relevant personal data, provided that deletion is not otherwise stipulated by special legal requirements.",true
anthropic__claude-opus-4-6,huawei,physical_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,huawei,behavioral_data,collected.policy_snippet,"We may also obtain data by recording how you interact with our websites, products, or services. For example, we may use technologies like cookies or receive use data from software running on your device.",true
anthropic__claude-opus-4-6,huawei,behavioral_data,stored.policy_snippet,"We will retain your personal information for no longer than is necessary for the purposes stated in this Policy, unless otherwise extending the retention period is required or permitted by law.",true
anthropic__claude-opus-4-6,huawei,behavioral_data,shared.policy_snippet,"Huawei shares your personal data with other partners, as described in this Policy, when services are provided by partners authorized by Huawei. For example, when you make an online purchase from Huawei, we must share your personal data with the logistics provider to arrange shipment or a partner to provide services. In addition, as a global company, we may share personal data with Huawei affiliates and subsidiaries.",true
anthropic__claude-opus-4-6,huawei,behavioral_data,retention_policy.policy_snippet_deletion,"After you deregister your account, we will stop providing you with products and services through your account and delete your relevant personal data, provided that deletion is not otherwise stipulated by special legal requirements.",true
anthropic__claude-opus-4-6,huawei,behavioral_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,myfitnesspal,biometric_data,collected.policy_snippet,,empty
anthropic__claude-opus-4-6,myfitnesspal,biometric_data,stored.policy_snippet,,empty
anthropic__claude-opus-4-6,myfitnesspal,biometric_data,shared.policy_snippet,,empty
anthropic__claude-opus-4-6,myfitnesspal,biometric_data,retention_policy.policy_snippet_deletion,,empty
anthropic__claude-opus-4-6,myfitnesspal,biometric_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,myfitnesspal,health_data,collected.policy_snippet,Food and Activity Diary Data may include sensitive personal information when the information indicates or allows someone to infer a health condition.,true
anthropic__claude-opus-4-6,myfitnesspal,health_data,stored.policy_snippet,"We will retain your personal information as long as necessary to fulfill the purposes outlined in this Policy (including to satisfy our legal or reporting requirements), unless a longer retention period is required or allowed under law.",true
anthropic__claude-opus-4-6,myfitnesspal,health_data,shared.policy_snippet,"We may disclose your personal information to third parties that provide business, professional, or technical support services to us and/or perform functions on our behalf to provide the Services.",true
anthropic__claude-opus-4-6,myfitnesspal,health_data,retention_policy.policy_snippet_deletion,Right to Deletion. The right to request that we delete your personal information (subject to certain exceptions prescribed by applicable law).,true
anthropic__claude-opus-4-6,myfitnesspal,health_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,myfitnesspal,physiological_data,collected.policy_snippet,"Information related to any physiological conditions; ... Body measurements (e.g., height, weight, and BMI); ... Lifestyle information (e.g., sleeping data); ... Certain connected devices, such as heart rate monitors, Continuous Glucose Monitoring devices, activity trackers, exercise equipment, scales, and/or wearables, that integrate with the Services, may allow us to collect Food and Activity Diary Data with your permission.",false
anthropic__claude-opus-4-6,myfitnesspal,physiological_data,stored.policy_snippet,"We will retain your personal information as long as necessary to fulfill the purposes outlined in this Policy (including to satisfy our legal or reporting requirements), unless a longer retention period is required or allowed under law.",true
anthropic__claude-opus-4-6,myfitnesspal,physiological_data,shared.policy_snippet,"We may disclose your personal information to third parties that provide business, professional, or technical support services to us and/or perform functions on our behalf to provide the Services. ... We may disclose your personal information, including device and browser information and activity and usage information, to our marketing and advertising partners",false
anthropic__claude-opus-4-6,myfitnesspal,physiological_data,retention_policy.policy_snippet_deletion,"We will retain your personal information as long as necessary to fulfill the purposes outlined in this Policy (including to satisfy our legal or reporting requirements), unless a longer retention period is required or allowed under law. To determine the appropriate retention period for personal information, we consider the amount, nature, and sensitivity of the personal information; the potential risk of harm from unauthorized use or disclosure of the personal information; the purposes for which we use the personal information; whether we can achieve the purposes through other means; and the applicable legal requirements.",true
anthropic__claude-opus-4-6,myfitnesspal,physiological_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,myfitnesspal,physical_data,collected.policy_snippet,"Body measurements (e.g., height, weight, and BMI); Progress photos you may choose to provide;",false
anthropic__claude-opus-4-6,myfitnesspal,physical_data,stored.policy_snippet,"We will retain your personal information as long as necessary to fulfill the purposes outlined in this Policy (including to satisfy our legal or reporting requirements), unless a longer retention period is required or allowed under law.",true
anthropic__claude-opus-4-6,myfitnesspal,physical_data,shared.policy_snippet,"We may disclose your personal information to our marketing and advertising partners, including social media platforms, third-party advertising networks, and other parties that assist us in serving, measuring the performance of, and optimizing our advertising campaigns.",false
anthropic__claude-opus-4-6,myfitnesspal,physical_data,retention_policy.policy_snippet_deletion,Right to Deletion. The right to request that we delete your personal information (subject to certain exceptions prescribed by applicable law).,true
anthropic__claude-opus-4-6,myfitnesspal,physical_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,myfitnesspal,behavioral_data,collected.policy_snippet,"MyFitnessPal may collect Usage and Device Data. This may include details about your browser, operating system, or device (such as your cookie identifiers, internet protocol (IP) address, ​​mobile advertising identifier, and other unique identifiers), internet service provider, mobile carrier, general location information (including inferred location based off of your IP address), actions that you take while using the Services, information about how you interact with the Services, including the frequency and duration of your activities, information about the links you click, and other information about how you use the Services.",true
anthropic__claude-opus-4-6,myfitnesspal,behavioral_data,stored.policy_snippet,"We will retain your personal information as long as necessary to fulfill the purposes outlined in this Policy (including to satisfy our legal or reporting requirements), unless a longer retention period is required or allowed under law.",true
anthropic__claude-opus-4-6,myfitnesspal,behavioral_data,shared.policy_snippet,"We may disclose your personal information, including device and browser information and activity and usage information, to our marketing and advertising partners, including social media platforms, third-party advertising networks, and other parties that assist us in serving, measuring the performance of, and optimizing our advertising campaigns.",true
anthropic__claude-opus-4-6,myfitnesspal,behavioral_data,retention_policy.policy_snippet_deletion,"To determine the appropriate retention period for personal information, we consider the amount, nature, and sensitivity of the personal information; the potential risk of harm from unauthorized use or disclosure of the personal information; the purposes for which we use the personal information; whether we can achieve the purposes through other means; and the applicable legal requirements.",true
anthropic__claude-opus-4-6,myfitnesspal,behavioral_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,snapchat,biometric_data,collected.policy_snippet,"On iOS we use Apple's TrueDepth camera to improve the quality of Lenses. Note, however, that this information is used in real time — we don't store this information on our servers or share it with third parties.",true
anthropic__claude-opus-4-6,snapchat,biometric_data,stored.policy_snippet,"Note, however, that this information is used in real time — we don't store this information on our servers or share it with third parties.",true
anthropic__claude-opus-4-6,snapchat,biometric_data,shared.policy_snippet,,empty
anthropic__claude-opus-4-6,snapchat,biometric_data,retention_policy.policy_snippet_deletion,,empty
anthropic__claude-opus-4-6,snapchat,biometric_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,snapchat,health_data,collected.policy_snippet,,empty
anthropic__claude-opus-4-6,snapchat,health_data,stored.policy_snippet,,empty
anthropic__claude-opus-4-6,snapchat,health_data,shared.policy_snippet,,empty
anthropic__claude-opus-4-6,snapchat,health_data,retention_policy.policy_snippet_deletion,,empty
anthropic__claude-opus-4-6,snapchat,health_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,snapchat,physiological_data,collected.policy_snippet,"device information may also include information about your device phonebook (contacts and related information), images and other information from your device's camera, photos, and microphone (like the ability to take photos, videos, view stored photos and videos, and access the microphone to record audio while recording video)",true
anthropic__claude-opus-4-6,snapchat,physiological_data,stored.policy_snippet,"As a general rule, we keep information as long as you tell us to, and otherwise as long as we need it to provide our Services, or as required by law.",true
anthropic__claude-opus-4-6,snapchat,physiological_data,shared.policy_snippet,"We share your information with our service providers, who process that information on our behalf.",true
anthropic__claude-opus-4-6,snapchat,physiological_data,retention_policy.policy_snippet_deletion,"If you want to delete your account, learn how here. You can also delete some information within our Services, like content you've saved to Memories, content you've shared with My AI, Spotlight submissions, and more.",true
anthropic__claude-opus-4-6,snapchat,physiological_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,snapchat,physical_data,collected.policy_snippet,"images and other information from your device's camera, photos, and microphone (like the ability to take photos, videos, view stored photos and videos, and access the microphone to record audio while recording video), and location information (precise location through methods like GPS signals).",true
anthropic__claude-opus-4-6,snapchat,physical_data,stored.policy_snippet,if location information is associated with a Snap — like those saved to Memories or posted to Snap Map or Spotlight — we'll retain that location as long as we store the Snap.,false
anthropic__claude-opus-4-6,snapchat,physical_data,shared.policy_snippet,"We share your information with our service providers, who process that information on our behalf. For example, we rely on such Service Providers to facilitate payments, measure and optimize the performance of ads, or protect the services.",true
anthropic__claude-opus-4-6,snapchat,physical_data,retention_policy.policy_snippet_deletion,"Snaps and Chats sent in Snapchat will be deleted by default from our servers within 24 hours after we detect they've been opened by all recipients or have expired, unless you've changed your default settings or decide to save something, in which case we will honor your choices.",true
anthropic__claude-opus-4-6,snapchat,physical_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,snapchat,behavioral_data,collected.policy_snippet,"This includes usage information (information about how you interact with our Services — for example, which Lenses you view and apply, your premium subscriptions, Stories you watch, and how often you interact with other Snapchatters) and content information (information about content you create or provide, your engagement with the camera and creative tools, your interactions with My AI, and metadata)",false
anthropic__claude-opus-4-6,snapchat,behavioral_data,stored.policy_snippet,"As a general rule, we keep information as long as you tell us to, and otherwise as long as we need it to provide our Services, or as required by law.",true
anthropic__claude-opus-4-6,snapchat,behavioral_data,shared.policy_snippet,"We share your information with our service providers, who process that information on our behalf. For example, we rely on such Service Providers to facilitate payments, measure and optimize the performance of ads, or protect the services.",true
anthropic__claude-opus-4-6,snapchat,behavioral_data,retention_policy.policy_snippet_deletion,"Although our systems are designed to delete some of your information automatically, we cannot promise that deletion will take place by a specific time.",true
anthropic__claude-opus-4-6,snapchat,behavioral_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,tiktok,biometric_data,collected.policy_snippet,"We detect and collect characteristics and features about the videos, images, and audio recordings that are part of your User Content, for example, by identifying objects and scenery, the existence or location within an image of a face or other body parts; and the text of words spoken in your User Content.",true
anthropic__claude-opus-4-6,tiktok,biometric_data,stored.policy_snippet,"We retain information for as long as necessary to provide the Platform and for the other purposes set out in this Privacy Policy. We also retain information when necessary to comply with contractual and legal obligations, when we have a legitimate business interest to do so (such as improving and developing the Platform, and enhancing its safety, security and stability), and for the exercise or defence of legal claims.",true
anthropic__claude-opus-4-6,tiktok,biometric_data,shared.policy_snippet,"We engage service providers that help us provide, support, and develop the Platform and understand how it is used. They provide services such as: cloud hosting, and content delivery, customer and technical support, content moderation, marketing, analytics, and payment services. We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services.",true
anthropic__claude-opus-4-6,tiktok,biometric_data,retention_policy.policy_snippet_deletion,"Delete your information. You can delete or ask us to delete your information. In-app controls enable you to: delete the content posted on your account, such as your User Content and your Account Information. delete your full account.",true
anthropic__claude-opus-4-6,tiktok,biometric_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,tiktok,health_data,collected.policy_snippet,,empty
anthropic__claude-opus-4-6,tiktok,health_data,stored.policy_snippet,,empty
anthropic__claude-opus-4-6,tiktok,health_data,shared.policy_snippet,,empty
anthropic__claude-opus-4-6,tiktok,health_data,retention_policy.policy_snippet_deletion,,empty
anthropic__claude-opus-4-6,tiktok,health_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,tiktok,physiological_data,collected.policy_snippet,"We detect and collect characteristics and features about the videos, images, and audio recordings that are part of your User Content, for example, by identifying objects and scenery, the existence or location within an image of a face or other body parts",true
anthropic__claude-opus-4-6,tiktok,physiological_data,stored.policy_snippet,"We retain information for as long as necessary to provide the Platform and for the other purposes set out in this Privacy Policy. We also retain information when necessary to comply with contractual and legal obligations, when we have a legitimate business interest to do so",true
anthropic__claude-opus-4-6,tiktok,physiological_data,shared.policy_snippet,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services.",true
anthropic__claude-opus-4-6,tiktok,physiological_data,retention_policy.policy_snippet_deletion,"You can delete or ask us to delete your information. In-app controls enable you to: delete the content posted on your account, such as your User Content and your Account Information. delete your full account.",true
anthropic__claude-opus-4-6,tiktok,physiological_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,tiktok,physical_data,collected.policy_snippet,"We collect the content you create, import, upload or publish through the Platform, such as photographs, videos, audio recordings, livestreams, comments, hashtags, feedback, reviews, and the associated metadata (such as when, where, and by whom the content was created).",true
anthropic__claude-opus-4-6,tiktok,physical_data,stored.policy_snippet,"We store the information described in the ""What Information We Collect"" section in servers located in the United States, Malaysia and Singapore.",true
anthropic__claude-opus-4-6,tiktok,physical_data,shared.policy_snippet,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services.",true
anthropic__claude-opus-4-6,tiktok,physical_data,retention_policy.policy_snippet_deletion,"Delete your information. You can delete or ask us to delete your information. In-app controls enable you to: delete the content posted on your account, such as your User Content and your Account Information. delete your full account.",true
anthropic__claude-opus-4-6,tiktok,physical_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,tiktok,behavioral_data,collected.policy_snippet,"We collect information about how you engage with the Platform, including information about how you interact with content and ads, the duration and frequency of your use, your engagement with other users, and your search history. We also collect information about your interactions with websites when you use our in-app browser.",true
anthropic__claude-opus-4-6,tiktok,behavioral_data,stored.policy_snippet,"We retain information for as long as necessary to provide the Platform and for the other purposes set out in this Privacy Policy. We also retain information when necessary to comply with contractual and legal obligations, when we have a legitimate business interest to do so (such as improving and developing the Platform, and enhancing its safety, security and stability), and for the exercise or defence of legal claims.",true
anthropic__claude-opus-4-6,tiktok,behavioral_data,shared.policy_snippet,"We share limited information which may include Information You Provide, Technical Information, and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform, or with whom we have a commercial relationship.",true
anthropic__claude-opus-4-6,tiktok,behavioral_data,retention_policy.policy_snippet_deletion,"Delete your information. You can delete or ask us to delete your information. In-app controls enable you to: delete the content posted on your account, such as your User Content and your Account Information. delete your full account.",true
anthropic__claude-opus-4-6,tiktok,behavioral_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-sonnet-4-6,amazon,biometric_data,collected.policy_snippet,"if you choose not to save any voice recordings, voice IDs associated with your account will be deleted and voice ID will not work. Similarly, if you delete the voice recordings Alexa used to create your voice ID",true
anthropic__claude-sonnet-4-6,amazon,biometric_data,stored.policy_snippet,"your text transcripts of those recordings and any typed requests will be retained for 30 days after your last interaction with Alexa in a given chat, after they will automatically be deleted. We retain those text transcripts and typed requests to allow you to review the requests you make to Alexa, and to improve your Alexa experience and our services.",true
anthropic__claude-sonnet-4-6,amazon,biometric_data,shared.policy_snippet,"This training relies in part on supervised machine learning, an industry-standard practice where humans review an extremely small sample of your Alexa interactions to help Alexa understand how to interpret your requests correctly and provide appropriate responses.",true
anthropic__claude-sonnet-4-6,amazon,biometric_data,retention_policy.policy_snippet_deletion,"Yes, you can choose to automatically delete your voice recordings, text transcripts, and typed requests to Alexa after a specified period of time (3 or 18 months), or you can choose to not save any voice recordings. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and automatically delete all existing voice recordings associated with your account",false
anthropic__claude-sonnet-4-6,amazon,biometric_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-sonnet-4-6,amazon,health_data,collected.policy_snippet,,empty
anthropic__claude-sonnet-4-6,amazon,health_data,stored.policy_snippet,,empty
anthropic__claude-sonnet-4-6,amazon,health_data,shared.policy_snippet,,empty
anthropic__claude-sonnet-4-6,amazon,health_data,retention_policy.policy_snippet_deletion,,empty
anthropic__claude-sonnet-4-6,amazon,health_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-sonnet-4-6,amazon,physiological_data,collected.policy_snippet,,empty
anthropic__claude-sonnet-4-6,amazon,physiological_data,stored.policy_snippet,,empty
anthropic__claude-sonnet-4-6,amazon,physiological_data,shared.policy_snippet,,empty
anthropic__claude-sonnet-4-6,amazon,physiological_data,retention_policy.policy_snippet_deletion,,empty
anthropic__claude-sonnet-4-6,amazon,physiological_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-sonnet-4-6,amazon,physical_data,collected.policy_snippet,"Our physical stores may use cameras, computer vision, sensors, and other technology to gather information about your activity in the store, such as the products and services you interact with.",true
anthropic__claude-sonnet-4-6,amazon,physical_data,stored.policy_snippet,"We maintain physical, electronic, and procedural safeguards in connection with the collection, storage, and disclosure of customer personal information.",true
anthropic__claude-sonnet-4-6,amazon,physical_data,shared.policy_snippet,"Third-Party Service Providers: We employ other companies and individuals to perform functions on our behalf. Examples include fulfilling orders for products or services, delivering packages, sending postal mail and email, removing repetitive information from customer lists, analyzing data, providing marketing assistance... These third-party service providers have access to personal information needed to perform their functions.",false
anthropic__claude-sonnet-4-6,amazon,physical_data,retention_policy.policy_snippet_deletion,"to the extent required by applicable law, you may have the right to request access to or delete your personal information. If you wish to do any of these things, you may go to Data Privacy Queries.",true
anthropic__claude-sonnet-4-6,amazon,physical_data,retention_policy.policy_snippet_inactivity,,empty
